CUSTOMER,REV_CURRENT_YEAR,REV_CURRENT_YEAR.1,REV_CURRENT_YEAR.2,CREATION_YEAR,OWNERSHIP,COUNTRY,CURRENCY
579,"""157832.813953488""",157832.81395348837,174585.01162790696,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1656,"""0""",0,872.0930232558139,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
2881,"""43377.9""",43377.9,2097.67,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
2492,"""82989.85""",82989.85,83251.95,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
2391,"""148.011627906977""",148.01162790697674,3601.232558139535,01/01/2003,Governmental,Switzerland,US Dollar
4478,"""407972.153846154""",407972.1538461538,282695.7692307692,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
2982,"""374541.923076923""",374541.92307692306,283431.8461538461,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3378,"""863129.08""",863129.08,552399.83,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
797,"""432949.256410256""",432949.25641025644,125744.25641025642,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2866,"""145895.720930233""",145895.72093023258,21849.51162790698,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
4732,"""957362.692307692""",957362.6923076923,890046.0769230769,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
132,"""1081119.3""",1081119.3,519423.38,01.01.2003,Governmental,Switzerland,Euro
5339,"""27613.2""",27613.2,39741.05,01/01/2003,Governmental,Switzerland,Euro
585,"""291167.521367521""",291167.5213675214,204828.5128205128,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5070,"""107305.25""",107305.25,43027.32,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
3561,"""172569.99""",172569.99,35909.59,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
3607,"""52087.83""",52087.83,87613.6,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
3634,"""1447195.15384615""",1447195.1538461538,483600.6153846154,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1871,"""80295""",80295,184617.84615384616,01/01/2003,Governmental,Switzerland,Chinese Yuan
1707,"""139908.26744186""",139908.26744186046,95512.12790697673,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3205,"""0""",0,0,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5583,"""12461.4615384615""",12461.461538461537,12435.76923076923,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
4121,"""28126.07""",28126.07,15113.9,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Euro
5880,"""26259.3372093023""",26259.337209302324,28812.860465116282,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
3984,"""88233.2307692308""",88233.23076923078,104237.09401709402,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
5085,"""24653.0813953488""",24653.08139534884,20074.39534883721,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
1494,"""9668.87179487179""",9668.871794871795,28922.77777777778,01.01.2004,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3258,"""35422.2820512821""",35422.282051282054,49275.86324786325,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
497,"""12562.1538461538""",12562.153846153846,12535.384615384613,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3257,"""136270.88372093""",136270.88372093023,143263.1046511628,01/01/2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
4058,"""7059.66279069767""",7059.662790697675,2535.732558139535,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
5844,"""1150""",1150,0,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
404,"""14575.6395348837""",14575.63953488372,32455.94186046512,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
254,"""93863.95""",93863.95,58463.67,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
1881,"""6575.44""",6575.44,13209.7,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
4371,"""108799.615384615""",108799.61538461539,108589.92307692308,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
75,"""9525.03""",9525.03,9507.92,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
90,"""580308.988372093""",580308.9883720931,622281.9651162791,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
4067,"""339990.461538462""",339990.46153846156,273014,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
814,"""68518.5348837209""",68518.53488372093,40014.441860465115,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
4142,"""173065.755813953""",173065.75581395347,45550,01.01.2007,Privately Owned/Publicly Traded,Switzerland,US Dollar
3712,"""31409.72""",31409.72,7209.15,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
5901,"""87709.523255814""",87709.52325581395,67069.11627906977,01/01/2003,Governmental,Switzerland,US Dollar
32,"""128123.341880342""",128123.34188034189,99861.40170940172,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
380,"""370391.49""",370391.49,266249.65,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
966,"""1426124.46153846""",1426124.4615384615,264509.8461538461,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
4047,"""19573.06""",19573.06,7336.25,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Euro
456,"""2948901.46153846""",2948901.4615384615,9668649.076923076,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
5806,"""17093.7008547009""",17093.700854700855,11720.196581196582,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
3924,"""186541.639534884""",186541.63953488372,70947.58139534884,01.01.2003,Privately Owned/Publicly Traded,Switzerland,US Dollar
5278,"""1176""",1176,2038.25,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Euro
1993,"""3495037""",3495037,7932176.692307692,01/01/2004,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
3385,"""376160.307692308""",376160.30769230763,915124.1538461538,01/01/2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
176,"""42968674.8461538""",42968674.84615385,65350380.76923077,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Chinese Yuan
1815,"""14166.2790697674""",14166.279069767443,47965.11627906977,01/01/2003,Governmental,Switzerland,US Dollar
2446,"""277864.52991453""",277864.52991452994,236382.00854700856,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2906,"""95447.0854700855""",95447.08547008547,180294.26495726497,01.01.2003,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2621,"""283381.581196581""",283381.58119658125,158692.07692307694,01/01/2007,Privately Owned/Publicly Traded,Switzerland,Pound Sterling
2472,"""215517.941860465""",215517.9418604651,267865.3604651163,01.01.2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
1877,"""1076.87209302326""",1076.872093023256,4993.302325581395,01/01/2004,Privately Owned/Publicly Traded,Switzerland,US Dollar
